Plant ID Alpha,Plant ID Numeric,Band #,Date,start_date,leaf_age_,Volume,Color,Dead,ants,spiders,beetle,other prey,Mosquito,Stage 1,Stage 2,Stage 3,Stage 4,Midges,Snot,Mites,Rotifers,Bodo,Colpoda,Chrysomonads,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,9/8/2004,9/8/2004,0,10,milky,"33, 1 spider",33,1,0,,13,0,4,7,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,9/22/2004,9/8/2004,14,10,milky,30,30,0,0,,3,0,0,2,1,5,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,10/6/2004,9/8/2004,28,9,clear,4,4,0,0,,6,0,1,4,1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,10/20/2004,9/8/2004,42,11,clear,1,1,0,0,,6,0,1,1,4,3,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,11/3/2004,9/8/2004,56,9,clear,1,1,0,0,,5,0,0,1,4,13,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,11/17/2004,9/8/2004,70,8,clear,0,0,0,0,,2,0,0,0,2,5,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,12/1/2004,9/8/2004,84,11.5,clear,0,0,0,0,,6,0,0,2,4,11,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,12/15/2004,9/8/2004,98,10,clear,0,0,0,0,,5,0,0,2,3,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,12/29/2004,9/8/2004,112,10,clear,0,0,0,0,,4,0,0,1,3,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,1/10/2005,9/8/2004,124,9,clear,0,0,0,0,,4,0,0,1,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,1/26/2005,9/8/2004,140,9,clear,0,0,0,0,,4,0,0,1,3,1,0,0,1,1,0,14,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,2/9/2005,9/8/2004,154,10,clear,0,0,0,0,,4,0,0,1,3,6,0,0,0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,2/23/2005,9/8/2004,168,8.5,clear,0,0,0,0,,4,0,0,1,3,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,3/9/2005,9/8/2004,182,12,clear,0,0,0,0,,15,0,0,0,4,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,3/23/2005,9/8/2004,196,11,clear,0,0,0,0,,4,0,0,1,3,7,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,4/6/2005,9/8/2004,210,10,clear,0,0,0,0,,6,1,0,0,5,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,4/20/2005,9/8/2004,224,8,clear,0,0,0,0,,3,1,0,0,2,1,0,0,0,0,0,62,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,5/4/2005,9/8/2004,238,10,clear,0,0,0,0,,3,2,0,0,1,4,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,5/18/2005,9/8/2004,252,9,clear,1,1,0,0,,3,0,1,0,2,1,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,6/1/2005,9/8/2004,266,7.5,clear,"1, 1 sm  bee",1,0,0,small bee,5,2,1,1,1,2,0,0,0,15,0,216,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,6/15/2005,9/8/2004,280,8,clear,1,1,0,0,,4,0,1,1,2,2,0,0,0,36,0,61,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,6/30/2005,9/8/2004,295,8,clear,1,1,0,0,,5,0,2,1,2,3,0,0,0,28,0,130,,,,,,,,,,,,,,,,,,,,,,,
A,1,1079,7/13/2005,9/8/2004,308,7,clear,1,1,0,0,,5,0,0,3,2,4,0,0,0,392,0,97,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,6/15/2004,6/15/2004,0,12,clear,73,73,0,0,,9,2,4,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,6/29/2004,6/15/2004,14,12,pink,40,40,0,0,,9,6,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,7/14/2004,6/15/2004,29,11,milky,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,7/27/2004,6/15/2004,42,12,cloudy,3,3,0,0,,0,0,0,0,0,0,0,0,0,37,11,34,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,8/11/2004,6/15/2004,57,12,yellowish,1,1,0,0,,0,0,0,0,0,0,0,0,0,654,7,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,8/25/2004,6/15/2004,71,10,lt. green,1 lg ant,1,0,0,,0,0,0,0,0,0,0,0,0,12650,6,11,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,9/8/2004,6/15/2004,85,5,clear,0,0,0,0,,0,0,0,0,0,0,0,1,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,9/22/2004,6/15/2004,99,7.5,clear,0,0,0,0,,0,0,0,0,0,0,0,0,0,250,0,2,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,10/6/2004,6/15/2004,113,7,clear,0,0,0,0,,0,0,0,0,0,0,0,0,0,1004,1,2,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,10/20/2004,6/15/2004,127,6,lt yellow clear,0,0,0,0,,0,0,0,0,0,1,0,1,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,11/3/2004,6/15/2004,141,4,lt yellow,0,0,0,0,,0,0,0,0,0,3,0,0,0,43,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,11/17/2004,6/15/2004,155,4,slight yellow,0,0,0,0,,0,0,0,0,0,4,0,0,0,51,16,32,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,12/1/2004,6/15/2004,169,4,clear,0,0,0,0,,0,0,0,0,0,0,0,0,0,25,8,110,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,12/15/2004,6/15/2004,183,2,clear,0,0,0,0,,0,0,0,0,0,0,0,0,0,522,32,0,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,12/29/2004,6/15/2004,197,4,clear,0,0,0,0,,0,0,0,0,0,1,0,0,0,14,18,6,,,,,,,,,,,,,,,,,,,,,,,
B,3,399,1/10/2005,6/15/2004,209,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,5/13/2004,5/13/2004,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,6/1/2004,5/13/2004,19,0.1,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,6/15/2004,5/13/2004,33,12,"milky, pink",13,13,0,0,,6,1,1,0,4,0,0,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,6/29/2004,5/13/2004,47,16,milky,5,5,0,0,,10,0,3,3,4,0,0,21,7,24750,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,7/14/2004,5/13/2004,62,9,clear/ tan,1 fly,0,0,0,fly,1,0,0,1,0,0,0,0,2,0,0,278,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,7/27/2004,5/13/2004,75,13.5,lt. cloudy,0,0,0,0,,9,1,3,0,5,0,0,1,0,0,0,46,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,8/11/2004,5/13/2004,90,12.5,clear,0,0,0,0,,13,4,5,1,3,1,0,0,0,30,0,2,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,8/25/2004,5/13/2004,104,12.5,clear,0,0,0,0,,9,1,2,4,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,9/8/2004,5/13/2004,118,15,clear,0,0,0,0,,5,0,1,3,1,2,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,9/22/2004,5/13/2004,132,11,clear,0,0,0,0,,3,0,0,0,3,1,0,0,0,7,0,57,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,10/6/2004,5/13/2004,146,8,tan,0,0,0,0,,3,0,0,1,2,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,10/20/2004,5/13/2004,160,12.5,clear,0,0,0,0,,3,0,0,1,2,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,11/3/2004,5/13/2004,174,4,lt yellow,0,0,0,0,,3,0,0,0,3,4,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,
B,4,104,11/17/2004,5/13/2004,188,0.4,tan,0,0,0,0,,0,0,0,0,0,0,0,0,0,122,10,344,,,,,,,,,,,,,,,,,,,,,,,
B,6,1,2/20/2004,2/20/2004,0,1,milky,1,1,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
